Month,Free Users,Premium Users,Pro Users,Premium Revenue ($),Pro Revenue ($),Total Monthly Revenue ($)
1,100,5,1,99.94999999999999,39.99,139.94
2,250,15,3,299.84999999999997,119.97,419.81999999999994
3,500,35,8,699.65,319.92,1019.5699999999999
4,800,65,16,1299.35,639.84,1939.19
5,1200,105,28,2098.95,1119.72,3218.67
6,1800,160,45,3198.3999999999996,1799.5500000000002,4997.95
7,2500,225,68,4497.75,2719.32,7217.07
8,3500,310,98,6196.9,3919.02,10115.92
9,4800,420,135,8395.8,5398.650000000001,13794.45
10,6500,560,180,11194.4,7198.200000000001,18392.6
11,8500,730,235,14592.699999999999,9397.65,23990.35
12,11000,950,300,18990.5,11997.0,30987.5
